Название;_идентификатор;кол-во в упаковке;артикул;Категория1;Категория2;Категория3;Категория4;
Корпус замка врезного 7011-20 СР "САЗАР";ftp://37.193.224.113/pub/image127.png;30;304680;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7011-40В GР "САЗАР";ftp://37.193.224.113/pub/image128.png;30;304681;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7011-40В СР "САЗАР";ftp://37.193.224.113/pub/image129.png;30;304682;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7016-20 РВ "САЗАР";ftp://37.193.224.113/pub/image130.png;30;304683;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7016-20 СР "САЗАР";ftp://37.193.224.113/pub/image131.png;30;304684;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7016-25 РВ "САЗАР";ftp://37.193.224.113/pub/image132.png;30;304685;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7016-25 СР "САЗАР";ftp://37.193.224.113/pub/image133.png;30;304686;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7020 РВ "САЗАР";ftp://37.193.224.113/pub/image134.png;30;304687;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 7020 СР "САЗАР";ftp://37.193.224.113/pub/image135.png;30;304688;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 745-3R СР "САЗАР";ftp://37.193.224.113/pub/image136.png;30;304689;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 9045-3FB СР "САЗАР";ftp://37.193.224.113/pub/image137.png;30;304691;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного 9045-3RB РB "САЗАР";ftp://37.193.224.113/pub/image138.png;30;304693;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4003 50/85-AB "САЗАР";ftp://37.193.224.113/pub/image139.png;50;307008;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4003 50/85-BP "САЗАР";ftp://37.193.224.113/pub/image140.png;50;307006;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4003 50/85-CP "САЗАР";ftp://37.193.224.113/pub/image141.png;50;307007;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4003 50/85-SB "САЗАР";;50;307010;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4003 50/85-SN "САЗАР";ftp://37.193.224.113/pub/image142.png;50;307009;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4006 50/85-AB "САЗАР";ftp://37.193.224.113/pub/image143.png;50;307013;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4006 50/85-BP "САЗАР";;50;307011;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4006 50/85-CP "САЗАР";ftp://37.193.224.113/pub/image144.png;50;307012;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4006 50/85-SB "САЗАР";ftp://37.193.224.113/pub/image145.png;50;307015;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Корпус замка врезного ЗВ-4006 50/85-SN "САЗАР";;50;307014;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные без ручек САЗАР;
Замок врезной магнитный B2-85C AB "САЗАР";ftp://37.193.224.113/pub/image146.png;50;305612;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные магнитные САЗАР;
Замок врезной магнитный B2-85C AC "САЗАР";ftp://37.193.224.113/pub/image147.png;50;305613;ЗАМКИ И ФУРНИТУРА;ЗАМКИ ВРЕЗНЫЕ И ЗАЩЕЛКИ;Замки врезные CАЗАР;Замки врезные магнитные САЗАР;
